,0,1
0,A61K,44658
1,C07K,7686
2,A01N,6265
3,C12N,2174
4,A61L,2008
5,A61F,1841
6,A23L,1075
7,G01N,820
8,A23K,767
9,C07D,692
10,C07C,670
11,A61Q,585
12,C07H,573
13,C12Q,531
14,C12P,472
15,A61B,468
16,C11D,445
17,A23G,406
18,A01K,324
19,C08G,292
20,A61M,258
21,A23C,234
22,B01J,228
23,A45D,212
24,C08F,201
25,A61C,165
26,C07F,136
27,A24B,122
28,A61P,115
29,A01H,106
30,B32B,104
31,A23B,101
32,A61J,94
33,A23J,92
34,B01D,92
35,A23D,82
36,C08B,76
37,C01B,72
38,C08L,69
39,C02F,67
40,A23P,66
41,C08K,64
42,B27K,64
43,B01F,60
44,C09K,59
45,C08J,55
46,A01M,49
47,C09D,49
48,B65D,46
49,B05D,45
50,A61N,45
51,A23F,43
52,C04B,39
53,A61D,38
54,A62D,35
55,C07J,34
56,C09C,34
57,D21H,32
58,C09B,32
59,B29C,31
60,C07B,31
61,C12M,28
62,A01G,26
63,D06M,25
64,C01G,20
65,A41D,20
66,G06K,20
67,G01R,18
68,B08B,18
69,C01F,17
70,C05F,17
71,A46B,17
72,C11B,17
73,A21D,16
74,G06F,16
75,G21G,15
76,B26B,15
77,A47K,15
78,B09C,15
79,C40B,15
80,C09J,15
81,B29B,14
82,G02B,14
83,C03C,12
84,A01C,12
85,H01B,11
86,D06L,11
87,B05B,11
88,F21V,10
89,B01L,9
90,A43B,9
91,C23F,9
92,C08H,9
93,A47G,9
94,A01P,9
95,D06P,8
96,C08C,8
97,C05D,7
98,C10M,7
99,A62B,7
100,A46D,7
101,D04H,7
102,A01L,7
103,A47L,7
104,B29D,7
105,C14C,7
106,C07G,6
107,G02C,6
108,B28B,6
109,B41M,6
110,C10L,6
111,D01F,6
112,H05B,5
113,C12G,5
114,A45C,5
115,C11C,5
116,A41B,5
117,A24D,5
118,A61G,4
119,B63B,4
120,B65B,4
121,C12C,4
122,G06Q,4
123,G03G,4
124,A47J,4
125,D21C,4
126,H05F,3
127,A22C,3
128,A63B,3
129,C10G,3
130,H01L,3
131,C25B,3
132,C30B,3
133,G01B,3
134,A41C,3
135,G21H,3
136,B09B,3
137,A24F,3
138,A22B,2
139,B26D,2
140,A61H,2
141,B60K,2
142,B03C,2
143,A24C,2
144,B30B,2
145,B41J,2
146,B27N,2
147,C05C,2
148,G06G,2
149,G01K,2
150,G06T,2
151,G05D,2
152,G05B,2
153,G03F,2
154,G01L,2
155,C22C,2
156,C23G,2
157,D01C,2
158,G09B,2
159,D02G,2
160,D21F,2
161,G01J,2
162,F42B,2
163,F41H,2
164,F41A,2
165,F16L,2
166,C05B,2
167,F25B,2
168,B65H,2
169,H04N,2
170,B60R,2
171,C01D,2
172,G11B,1
173,H04R,1
174,H04M,1
175,A01J,1
176,A44C,1
177,G01F,1
178,A01F,1
179,H02M,1
180,A47B,1
181,A47C,1
182,A01D,1
183,A47F,1
184,F28F,1
185,A41H,1
186,H02K,1
187,A41G,1
188,G10D,1
189,H02J,1
190,H02G,1
191,G01T,1
192,G01V,1
193,G02F,1
194,A21B,1
195,H01J,1
196,F24F,1
197,H01G,1
198,H01F,1
199,G07C,1
200,G08C,1
201,G11C,1
202,B44C,1
203,F16H,1
204,F23L,1
205,F23D,1
206,B21D,1
207,B21K,1
208,B22D,1
209,B22F,1
210,B23Q,1
211,B24B,1
212,C03B,1
213,C01C,1
214,B82Y,1
215,B28C,1
216,B65G,1
217,B65F,1
218,B63C,1
219,B62K,1
220,B31B,1
221,B31F,1
222,B60S,1
223,B41F,1
224,B60N,1
225,B21C,1
226,C06B,1
227,C06D,1
228,E01C,1
229,F17C,1
230,B43K,1
231,F16F,1
232,F04B,1
233,E06B,1
234,E05G,1
235,E04H,1
236,E02F,1
237,D01D,1
238,C09G,1
239,D01B,1
240,C25D,1
241,C22B,1
242,B02C,1
243,C12H,1
244,B04B,1
245,C09H,1
246,B05C,1
247,H05H,1
