patent_id,org_pcs,org_FC,gen_pcs,forward_ref,ref_pcs,ref_FC_new
7242681,{'H04L063'},10,"{'G06F021', 'H04L063'}",9875344,"{'G06F021', 'H04L063'}",20 (0.8)
8549579,"{'H04L051', 'H04L063'}",8,"{'G06F021', 'H04L063'}",9087215,"{'G06F021', 'H04L063'}",23 (1.0)
8307177,"{'G06F011', 'G06F016', 'G06F009'}",165,"{'G06F011', 'G06F003', 'G06F016', 'G06F009'}",9823977,"{'G06F011', 'G06F003', 'G06F016', 'G06F009'}",40 (0.92)
8307177,"{'G06F011', 'G06F016', 'G06F009'}",165,"{'G06F011', 'G06F003', 'G06F016', 'G06F009'}",10474542,"{'G06F011', 'G06F003', 'G06F016', 'G06F009'}",20 (0.78)
9089966,{'B25J009'},13,"{'Y10S901', 'B25J009'}",9486921,"{'Y10S901', 'B25J009'}",114 (1.0)
8832846,"{'G06F021', 'G06F008'}",14,"{'G06F021', 'H04L063'}",9536108,"{'G06F021', 'H04L063'}",71 (1.0)
7697758,"{'G06V030', 'G06K009'}",33,"{'G06V020', 'G06V030', 'G06V010', 'G06F016'}",8953886,"{'G06V020', 'G06V030', 'G06V010', 'G06F016'}",39 (1.0)
7024364,"{'G10L015', 'H04M003'}",10,"{'G06F003', 'G10L015'}",8589161,"{'G06F003', 'G10L015'}",33 (0.7)
7024364,"{'G10L015', 'H04M003'}",10,"{'G06F003', 'G10L015'}",9721566,"{'G06F003', 'G10L015'}",102 (0.87)
7127403,"{'G10L015', 'H04M003'}",6,"{'G06F003', 'G10L015'}",9721566,"{'G06F003', 'G10L015'}",102 (0.88)
7127403,"{'G10L015', 'H04M003'}",6,"{'G06F003', 'G10L015'}",8670985,"{'G06F003', 'G10L015'}",22 (0.69)
7769756,"{'H04L065', 'H04N021', 'H04H060', 'H04N019'}",16,"{'G06Q030', 'H04N021', 'H04H060'}",8966525,"{'G06Q030', 'H04N021', 'H04H060'}",37 (1.0)
7363549,{'G06F011'},28,"{'G06F011', 'G06F016'}",7979441,"{'G06F011', 'G06F016'}",18 (0.77)
7363549,{'G06F011'},28,"{'G06F011', 'G06F016'}",8108429,"{'G06F011', 'G06F016'}",40 (1.0)
7363549,{'G06F011'},28,"{'G06F011', 'G06F016'}",7904913,"{'G06F011', 'G06F016'}",24 (0.86)
7363549,{'G06F011'},28,"{'G06F011', 'G06F016'}",7689602,"{'G06F011', 'G06F016'}",17 (0.73)
7363549,{'G06F011'},28,"{'G06F011', 'G06F016'}",8131723,"{'G06F011', 'G06F016'}",29 (0.95)
8832594,"{'G06F040', 'G06F003'}",161,"{'G06F040', 'G06F003', 'G06F016'}",9043696,"{'G06F040', 'G06F003', 'G06F016'}",153 (0.93)
